File,NEF,TIFF,Date Created,Date Modified,File Size,Image Size,Date Shot,Time Zone and Date,Image Quality,Artist,Copyright,Image Comment,Device,Lens,Focal Length,Focus Mode,AF-Area Mode,VR,AF Fine Tune,Aperture,Shutter Speed,Exposure Mode,Exposure Comp.,Exposure Tuning,Metering,ISO Sensitivity,Flash Device,Flash Sync Mode,Flash Mode,White Balance,Color Space,High ISO NR,Long Exposure NR,Active D-Lighting,Image Authentication,Vignette Control,Auto Distortion Control,Picture Control,Base,Quick Adjust,Sharpening,Contrast,Brightness,Saturation,Hue,Filter Effects,Toning,Optimize Image,Color Mode,Tone Comp.,Hue Adjustment,Saturation.1,Sharpening.1,Latitude,Longitude,Altitude,Altitude Reference,Heading,UTC,Map Datum,Scene Mode,Keywords
r75abf0a6t,http://193.205.194.113/RAISE/NEF/r75abf0a6t.NEF,http://193.205.194.113/RAISE/TIFF/r75abf0a6t.TIF,9/20/2014 15:51,9/17/2011 8:21,19.8 MB,L (4928 x 3264),21:08.4,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,200mm,AF-A,Auto,ON,OFF,f/22,1/60s,Manual,0EV,,Matrix,ISO 200,,,,"Cloudy, 0, 0",sRGB,ON (Low),OFF,OFF,,,OFF,[SD] STANDARD,[SD] STANDARD,-,9,2,0,3,1,,,,,,,,,,,,,,,,,nature; outdoor
r1301676dt,http://193.205.194.113/RAISE/NEF/r1301676dt.NEF,http://193.205.194.113/RAISE/TIFF/r1301676dt.TIF,9/20/2014 15:52,9/17/2011 8:24,18.4 MB,L (4928 x 3264),24:26.8,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,200mm,AF-A,Auto,ON,OFF,f/13,1/60s,Manual,0EV,,Matrix,ISO 200,,,,"Cloudy, 0, 0",sRGB,ON (Low),OFF,OFF,,,OFF,[SD] STANDARD,[SD] STANDARD,-,9,2,0,3,1,,,,,,,,,,,,,,,,,nature; outdoor
r0cea5432t,http://193.205.194.113/RAISE/NEF/r0cea5432t.NEF,http://193.205.194.113/RAISE/TIFF/r0cea5432t.TIF,9/20/2014 16:08,9/24/2011 7:17,17.8 MB,L (4928 x 3264),17:04.3,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,38mm,AF-A,Auto,ON,OFF,f/11,1/400s,Manual,0EV,,Matrix,ISO 250,,,,"Cloudy, 0, 0",sRGB,ON (Low),OFF,OFF,,,OFF,[SD] STANDARD,[SD] STANDARD,-,9,2,0,2,1,,,,,,,,,,,,,,,,,nature; outdoor
raecffc3et,http://193.205.194.113/RAISE/NEF/raecffc3et.NEF,http://193.205.194.113/RAISE/TIFF/raecffc3et.TIF,9/20/2014 16:09,9/24/2011 7:17,18.7 MB,L (4928 x 3264),17:10.5,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,32mm,AF-A,Auto,ON,OFF,f/11,1/400s,Manual,0EV,,Matrix,ISO 250,,,,"Cloudy, 0, 0",sRGB,ON (Low),OFF,OFF,,,OFF,[SD] STANDARD,[SD] STANDARD,-,9,2,0,2,1,,,,,,,,,,,,,,,,,nature; outdoor
re8712078t,http://193.205.194.113/RAISE/NEF/re8712078t.NEF,http://193.205.194.113/RAISE/TIFF/re8712078t.TIF,9/20/2014 16:09,9/24/2011 7:17,19.0 MB,L (4928 x 3264),17:34.6,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,44mm,AF-A,Auto,ON,OFF,f/11,1/400s,Manual,0EV,,Matrix,ISO 250,,,,"Cloudy, 0, 0",sRGB,ON (Low),OFF,OFF,,,OFF,[SD] STANDARD,[SD] STANDARD,-,9,2,0,2,1,,,,,,,,,,,,,,,,,nature; outdoor
r11e134c7t,http://193.205.194.113/RAISE/NEF/r11e134c7t.NEF,http://193.205.194.113/RAISE/TIFF/r11e134c7t.TIF,9/20/2014 16:16,9/24/2011 7:59,20.6 MB,L (4928 x 3264),59:08.8,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,26mm,AF-A,Auto,ON,OFF,f/13,1/125s,Manual,0EV,,Matrix,ISO 250,,,,"Cloudy, A3, G2",sRGB,ON (Low),OFF,OFF,,,OFF,[SD] STANDARD,[SD] STANDARD,-,9,2,0,2,1,,,,,,,,,,,,,,,,,landscape; nature; outdoor
r45f0bdf7t,http://193.205.194.113/RAISE/NEF/r45f0bdf7t.NEF,http://193.205.194.113/RAISE/TIFF/r45f0bdf7t.TIF,9/20/2014 16:18,9/24/2011 8:18,22.2 MB,L (4928 x 3264),18:01.1,"UTC+1, DST:ON",Lossless Compressed RAW (14-bit),dnductien                           ,DNDUCTIEN                                             ,,Nikon D7000,VR 18-200mm f/3.5-5.6G,130mm,Manual,Single,ON,OFF,f/8,1/125s,Manual,0EV,,Matrix,ISO 250,,,,"Cloudy, A3, G2",sRGB,ON (Low),OFF,OFF,,,OFF,[SD] STANDARD,[SD] STANDARD,-,9,2,0,2,1,,,,,,,,,,,,,,,,,nature; outdoor
r647d6726t,http://193.205.194.113/RAISE/NEF/r647d6726t.NEF,http://193.205.194.113/RAISE/TIFF/r647d6726t.TIF,9/20/2014 15:38,4/25/2012 10:19,10.2 MB,L (4288 x 2848),19:32.0,"UTC+1, DST:OFF",Compressed RAW (12-bit),,,,Nikon D90,VR 18-105mm f/3.5-5.6G,75mm,AF-A,Auto,ON,,f/13,1/25s,Aperture Priority,+1.7EV,,Matrix,ISO 250,,,,"Cloudy, 0, 0",Adobe RGB,OFF,OFF,Extra High,,,,[VI] VIVID,[VI] VIVID,-,6,Active D-Lighting,Active D-Lighting,3,2,,,,,,,,,,,,,,,,,nature; outdoor
r28360ddbt,http://193.205.194.113/RAISE/NEF/r28360ddbt.NEF,http://193.205.194.113/RAISE/TIFF/r28360ddbt.TIF,9/20/2014 15:56,4/7/2012 8:38,11.1 MB,L (4288 x 2848),38:05.0,"UTC+1, DST:OFF",Compressed RAW (12-bit),,,,Nikon D90,VR 18-105mm f/3.5-5.6G,105mm,AF-A,Auto,ON,,f/16,1/15s,Aperture Priority,+0.3EV,,Matrix,ISO 250,,,,"Cloudy, 0, 0",Adobe RGB,OFF,OFF,Extra High,,,,[VI] VIVID,[VI] VIVID,-,6,Active D-Lighting,Active D-Lighting,3,2,,,,,,,,,,,,,,,,,nature; objects; outdoor
r1a9de6e9t,http://193.205.194.113/RAISE/NEF/r1a9de6e9t.NEF,http://193.205.194.113/RAISE/TIFF/r1a9de6e9t.TIF,9/20/2014 15:56,4/7/2012 8:39,10.7 MB,L (4288 x 2848),39:04.0,"UTC+1, DST:OFF",Compressed RAW (12-bit),,,,Nikon D90,VR 18-105mm f/3.5-5.6G,105mm,AF-A,Auto,ON,,f/16,1/60s,Aperture Priority,+0.3EV,,Matrix,ISO 250,,,,"Cloudy, 0, 0",Adobe RGB,OFF,OFF,Extra High,,,,[VI] VIVID,[VI] VIVID,-,6,Active D-Lighting,Active D-Lighting,3,2,,,,,,,,,,,,,,,,,nature; objects; outdoor
